,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_response_rate,host_acceptance_rate
42,4.9,4.9,4.8,4.93,4.92,4.83,4.88,,100.0
43,4.84,5.0,4.88,4.88,4.94,4.88,4.76,20.0,0.0
44,4.41,4.38,4.26,4.82,4.76,4.71,4.47,,
45,4.95,4.95,4.96,4.98,4.98,5.0,4.93,100.0,100.0
46,5.0,5.0,3.0,5.0,5.0,5.0,5.0,,
47,4.71,4.88,4.8,4.76,4.82,4.25,4.69,,0.0
48,4.69,4.85,4.79,4.86,4.79,4.57,4.71,,
49,4.49,4.65,3.53,4.65,4.68,4.98,4.41,0.0,0.0
50,4.89,4.96,4.87,4.96,4.85,4.98,4.91,100.0,60.0
51,4.34,4.62,3.86,4.34,4.24,4.52,4.52,0.0,0.0
52,4.05,4.26,3.69,4.59,4.39,4.4,4.16,,
53,4.69,4.79,4.57,4.93,4.91,4.76,4.76,,57.0
54,5.0,5.0,5.0,5.0,4.67,5.0,4.33,,
55,4.97,4.97,4.8,5.0,5.0,5.0,4.91,0.0,0.0
56,4.69,4.83,4.87,4.83,4.73,4.65,4.68,94.0,50.0
57,4.43,4.71,4.27,4.49,4.76,4.98,4.56,100.0,89.0
58,4.82,4.77,4.93,4.95,4.77,4.77,4.85,100.0,100.0
59,4.62,4.76,4.45,4.97,4.97,4.79,4.72,,
60,4.75,4.85,4.67,4.92,4.88,4.65,4.73,,0.0
61,4.52,4.6,4.68,4.84,4.82,4.83,4.63,96.0,98.0
62,4.93,4.95,4.96,4.98,4.98,4.89,4.91,100.0,100.0
63,4.6,4.47,4.47,4.8,4.87,4.87,4.4,,
64,4.77,4.76,4.87,4.91,4.89,4.64,4.72,100.0,95.0
65,4.85,4.63,4.79,5.0,4.89,4.79,4.74,100.0,
66,4.14,4.17,3.83,4.33,4.33,4.67,4.17,100.0,0.0
67,4.95,4.94,5.0,4.88,4.88,4.94,4.88,,
68,4.69,4.31,4.55,4.77,4.67,4.38,4.5,100.0,84.0
69,4.93,4.92,4.94,4.98,4.98,4.83,4.9,100.0,98.0
70,4.76,4.85,4.83,4.82,4.92,4.89,4.62,100.0,44.0
71,4.87,4.83,4.9,4.95,4.95,5.0,4.83,90.0,77.0
72,4.71,4.79,4.41,4.9,4.97,4.93,4.69,100.0,50.0
73,4.33,4.0,4.0,4.33,4.33,4.33,4.33,,
74,4.49,4.66,4.41,4.74,4.73,4.72,4.57,100.0,98.0
75,4.84,4.76,4.85,4.92,4.97,4.83,4.72,100.0,80.0
76,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,25.0
77,4.96,4.96,4.98,4.98,4.98,4.96,4.9,100.0,78.0
78,4.41,4.24,4.45,4.41,4.34,4.66,4.59,0.0,0.0
79,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,
80,3.5,4.0,4.0,3.67,4.67,3.67,3.33,0.0,0.0
81,4.76,4.83,4.87,4.87,4.8,4.33,4.7,90.0,58.0
82,4.91,4.89,4.9,4.88,4.89,4.98,4.77,90.0,13.0
83,4.68,4.81,4.59,4.85,4.81,4.89,4.59,100.0,56.0
84,4.8,4.81,4.59,4.93,4.87,4.85,4.76,100.0,95.0
85,4.86,4.93,4.83,4.98,5.0,4.98,4.86,100.0,0.0
86,4.54,4.48,4.5,4.65,4.7,4.67,4.5,100.0,68.0
87,4.91,4.86,4.91,4.95,4.95,4.73,4.91,100.0,33.0
88,4.71,4.86,4.82,4.89,4.92,4.38,4.72,,
89,4.76,4.66,4.66,4.82,4.84,4.61,4.58,71.0,41.0
90,4.62,4.77,4.77,4.73,4.7,4.56,4.61,94.0,50.0
91,4.8,4.82,4.45,4.94,4.92,4.52,4.75,,100.0
92,4.85,4.85,4.62,5.0,5.0,5.0,4.77,100.0,97.0
93,4.69,4.85,4.82,4.83,4.72,4.83,4.72,,0.0
94,4.75,4.74,4.68,4.89,4.94,4.98,4.65,60.0,3.0
95,4.84,4.81,4.84,4.97,4.89,4.19,4.65,90.0,93.0
96,4.63,4.83,4.72,4.86,4.93,4.53,4.69,100.0,91.0
97,4.78,4.83,4.56,5.0,4.83,4.44,4.67,,
98,4.89,4.94,4.91,4.95,4.99,4.97,4.83,100.0,100.0
99,4.42,4.64,4.36,4.82,5.0,4.82,4.55,100.0,36.0
100,,,,,,,,,
101,4.65,4.6,4.49,4.86,4.87,4.88,4.61,83.0,33.0
102,4.69,4.77,4.62,4.79,4.83,4.77,4.61,100.0,100.0
103,4.76,4.75,4.75,4.75,4.83,4.5,4.67,100.0,33.0
104,4.3,4.15,4.05,4.0,4.15,4.2,4.15,100.0,84.0
105,4.83,4.73,4.79,4.91,4.9,4.89,4.81,100.0,100.0
106,,,,,,,,,
107,4.42,4.47,4.7,4.5,4.48,3.88,4.38,90.0,79.0
108,4.94,5.0,4.88,5.0,4.94,4.94,5.0,100.0,100.0
109,4.34,4.41,4.3,4.59,4.78,4.44,4.35,100.0,36.0
110,4.0,4.75,4.25,4.5,5.0,4.25,4.25,100.0,36.0
111,4.71,4.5,4.44,4.81,4.63,4.69,4.44,100.0,36.0
112,,,,,,,,,
113,4.7,4.85,4.68,4.91,4.89,4.95,4.85,100.0,100.0
114,4.35,4.6,4.85,4.55,4.45,3.91,4.45,90.0,79.0
115,4.85,4.89,4.88,4.97,4.88,4.48,4.81,100.0,98.0
116,4.79,4.76,4.79,5.0,4.97,4.85,4.74,100.0,100.0
117,4.65,4.73,4.57,4.67,4.74,4.49,4.64,100.0,64.0
118,4.81,4.89,4.78,4.96,4.92,4.92,4.81,100.0,100.0
119,4.69,4.83,4.8,4.95,4.94,4.89,4.62,96.0,66.0
120,4.82,4.89,4.74,4.92,4.94,4.88,4.66,100.0,86.0
121,4.98,4.99,4.97,4.97,5.0,4.97,4.91,100.0,88.0
122,4.86,4.92,4.94,4.9,4.92,4.57,4.8,100.0,98.0
123,4.75,4.38,3.88,4.63,5.0,5.0,4.63,100.0,13.0
124,4.7,4.67,4.74,4.75,4.81,4.65,4.7,100.0,96.0
125,4.72,4.72,4.64,4.76,4.76,4.84,4.8,,
126,4.65,4.82,4.67,4.85,4.98,4.69,4.6,,
127,5.0,4.5,5.0,5.0,5.0,5.0,5.0,100.0,36.0
128,4.74,4.84,4.5,4.87,4.95,4.68,4.66,70.0,42.0
129,4.37,4.55,4.15,4.52,4.58,4.5,4.21,86.0,100.0
130,4.79,4.91,4.65,4.97,4.94,4.85,4.71,,
131,4.88,4.71,4.29,4.86,5.0,5.0,4.71,,
132,4.72,4.75,4.67,4.68,4.71,4.45,4.63,100.0,64.0
133,5.0,4.67,4.67,5.0,5.0,4.67,4.67,,
134,4.53,4.68,4.37,4.81,4.84,4.83,4.42,100.0,100.0
135,5.0,5.0,4.75,4.5,5.0,5.0,5.0,,
136,4.23,4.43,4.05,4.53,4.52,4.84,4.41,,
137,4.82,4.85,4.88,4.75,4.97,4.98,4.78,100.0,50.0
138,4.81,4.62,4.41,4.93,4.9,4.86,4.72,,0.0
139,4.3,4.58,3.96,4.48,4.23,4.75,4.38,,34.0
140,4.9,4.85,4.75,4.84,4.89,4.91,4.78,100.0,20.0
141,4.78,4.82,4.68,4.92,4.9,4.85,4.7,80.0,82.0
142,,,,,,,,100.0,86.0
143,4.92,4.9,4.86,4.94,4.96,4.71,4.69,100.0,85.0
144,4.59,4.64,4.76,4.9,4.88,4.23,4.59,,
145,4.37,4.39,3.81,4.46,4.36,4.64,4.23,,34.0
146,4.92,4.92,4.69,4.75,4.92,4.67,4.5,100.0,19.0
147,,,,,,,,,
148,4.79,4.81,4.83,4.89,4.89,4.41,4.72,0.0,
149,4.82,4.91,4.91,4.87,4.76,4.4,4.8,100.0,50.0
150,4.53,4.6,4.52,4.73,4.79,4.28,4.46,100.0,
151,4.78,4.77,4.8,4.82,4.72,4.51,4.78,100.0,100.0
152,4.56,4.71,4.17,4.77,4.87,4.81,4.59,100.0,68.0
153,4.92,4.94,4.97,4.94,4.98,4.37,4.77,,
154,5.0,,,,,,,96.0,71.0
155,4.67,4.86,4.84,4.91,4.96,4.79,4.64,,
156,4.52,4.56,4.58,4.62,4.85,4.66,4.53,100.0,60.0
157,4.9,4.89,4.89,5.0,5.0,4.8,4.9,,
158,4.87,4.96,4.99,4.97,4.99,4.97,4.73,100.0,0.0
159,4.94,4.94,4.78,4.76,4.93,4.93,4.79,100.0,86.0
160,4.86,4.92,4.74,4.95,4.96,4.92,4.71,96.0,71.0
161,4.82,4.88,4.9,4.94,4.9,4.97,4.77,100.0,100.0
162,4.99,4.97,4.98,4.99,4.98,4.96,4.9,100.0,94.0
163,4.84,4.92,4.68,5.0,5.0,4.68,4.73,100.0,100.0
164,4.88,4.87,4.93,4.99,5.0,4.93,4.83,100.0,73.0
165,4.79,4.75,4.82,4.96,4.99,4.67,4.73,,
166,,,,,,,,,
167,4.97,4.97,4.97,5.0,4.9,4.97,4.81,100.0,25.0
168,4.86,4.86,4.57,4.86,4.86,4.86,4.86,100.0,0.0
169,4.86,4.88,4.88,4.83,4.87,4.78,4.64,100.0,94.0
170,4.83,4.85,4.47,4.91,4.93,4.96,4.76,89.0,83.0
171,4.83,4.8,4.56,4.94,4.94,4.78,4.78,90.0,67.0
172,4.85,4.9,4.83,4.95,4.88,4.95,4.73,100.0,65.0
173,4.98,4.98,4.8,4.93,4.98,4.84,4.84,,
174,4.42,4.83,4.58,4.83,4.58,4.75,4.67,100.0,100.0
175,4.51,4.72,4.14,4.86,4.83,4.97,4.71,,
176,4.52,4.45,4.52,4.67,4.61,4.85,4.55,100.0,100.0
177,4.64,4.64,4.38,4.79,4.78,4.9,4.4,63.0,68.0
178,4.12,4.34,3.94,4.88,4.68,4.12,4.26,60.0,41.0
179,4.84,4.9,4.54,4.79,4.92,4.79,4.71,,
180,4.66,4.77,4.59,4.89,4.91,4.3,4.65,100.0,94.0
181,4.67,4.81,4.36,4.77,4.83,4.51,4.68,100.0,0.0
182,4.67,5.0,4.67,4.0,4.67,4.67,4.67,,
183,4.81,4.81,4.82,4.86,4.87,4.64,4.77,100.0,0.0
184,5.0,5.0,4.33,5.0,4.67,5.0,5.0,70.0,20.0
185,4.91,4.97,4.95,5.0,4.89,4.41,4.78,100.0,97.0
186,4.33,4.44,3.9,4.84,4.76,4.84,4.44,100.0,46.0
187,5.0,5.0,5.0,5.0,4.89,4.78,4.56,100.0,97.0
188,4.57,5.0,4.67,4.83,4.83,3.67,4.83,100.0,97.0
189,4.86,4.77,4.58,4.89,4.83,4.97,4.8,50.0,0.0
190,4.0,5.0,5.0,5.0,4.5,3.5,4.5,100.0,97.0
191,4.87,4.82,4.63,4.84,4.85,4.9,4.69,100.0,33.0
192,4.8,4.8,4.66,4.93,4.93,4.95,4.65,100.0,33.0
193,4.79,4.88,4.7,4.87,4.92,4.83,4.66,100.0,29.0
194,4.9,4.93,4.92,4.94,4.94,4.92,4.9,,100.0
195,4.43,4.58,4.41,4.79,4.82,4.17,4.44,13.0,0.0
196,4.67,5.0,4.8,5.0,4.8,4.8,4.8,100.0,0.0
197,4.9,4.93,4.78,4.85,4.98,4.76,4.59,,
198,4.89,5.0,5.0,4.95,4.84,4.84,4.84,100.0,97.0
199,4.76,4.84,4.75,4.92,4.91,4.78,4.73,,100.0
200,4.45,4.57,4.69,4.73,4.62,4.26,4.45,100.0,86.0
201,4.74,4.86,4.82,4.93,4.92,4.54,4.68,100.0,98.0
202,4.9,4.9,4.9,4.95,4.95,4.81,4.86,100.0,95.0
203,4.76,4.87,4.52,4.9,4.86,4.41,4.74,100.0,40.0
204,4.85,4.84,4.76,4.84,4.96,4.52,4.69,100.0,100.0
205,5.0,4.86,4.57,5.0,5.0,4.79,4.93,100.0,20.0
206,4.67,5.0,4.83,5.0,5.0,4.5,4.5,,17.0
207,4.81,4.78,4.44,4.94,5.0,4.67,4.83,100.0,
208,5.0,4.96,4.75,4.92,5.0,5.0,4.83,100.0,70.0
209,4.28,4.25,4.04,4.68,4.75,4.68,4.32,,
210,4.69,4.79,4.55,4.84,4.86,4.44,4.71,,67.0
211,4.93,4.97,4.92,4.96,4.95,4.79,4.89,100.0,80.0
212,4.84,4.82,4.68,4.88,4.91,5.0,4.67,,43.0
213,4.9,4.81,4.48,4.97,4.97,4.52,4.58,,100.0
214,4.78,4.89,4.9,4.88,4.94,4.88,4.54,100.0,55.0
215,4.17,4.71,4.86,4.57,4.57,3.57,4.57,100.0,97.0
216,4.86,4.91,4.86,4.87,4.92,4.57,4.8,0.0,
217,4.85,4.82,4.77,4.93,4.93,4.64,4.84,100.0,93.0
218,4.88,4.92,4.78,4.9,4.91,4.8,4.83,100.0,51.0
219,4.74,4.71,4.69,4.88,4.87,4.88,4.65,80.0,82.0
220,4.62,4.71,4.76,4.55,4.69,4.79,4.62,100.0,64.0
221,4.9,4.9,4.72,4.96,4.99,4.93,4.87,83.0,88.0
222,4.5,5.0,5.0,5.0,5.0,4.67,5.0,,0.0
223,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,
224,4.62,4.7,4.74,4.78,4.71,4.85,4.68,,0.0
225,,,,,,,,,
226,4.75,4.86,4.83,4.86,4.8,4.51,4.82,100.0,100.0
227,4.5,4.39,3.93,4.61,4.89,4.64,4.26,100.0,50.0
228,4.76,4.88,4.64,4.94,4.88,4.7,4.85,0.0,0.0
229,4.55,4.67,4.39,4.87,4.88,4.84,4.53,67.0,25.0
230,4.48,4.64,4.4,4.79,4.63,4.3,4.55,100.0,67.0
231,4.8,4.86,4.87,4.95,4.97,4.35,4.72,100.0,88.0
232,4.45,4.55,3.89,4.61,4.61,4.91,4.41,100.0,100.0
233,4.96,5.0,4.92,4.84,4.92,4.88,4.92,100.0,59.0
234,4.72,4.76,4.55,4.91,4.9,4.71,4.62,90.0,100.0
235,4.87,4.91,4.87,4.91,4.91,4.76,4.89,100.0,90.0
236,4.29,4.21,4.38,4.57,4.45,4.78,4.29,100.0,99.0
237,3.67,3.33,3.0,4.67,4.33,5.0,4.33,,
238,5.0,5.0,5.0,5.0,5.0,4.67,5.0,100.0,
239,4.73,4.84,4.88,5.0,4.89,4.82,4.63,100.0,99.0
240,4.84,4.84,4.76,4.81,4.77,4.96,4.83,67.0,70.0
241,4.58,4.64,4.44,4.96,4.8,4.92,4.44,,
242,4.73,4.69,4.66,4.85,4.93,4.34,4.7,,
243,4.8,4.88,4.68,4.93,4.92,4.96,4.66,100.0,100.0
244,4.78,4.88,4.63,5.0,4.88,5.0,4.75,,
245,4.9,4.93,4.76,5.0,5.0,4.97,4.83,100.0,87.0
246,4.36,4.66,4.22,4.47,4.55,4.23,4.24,100.0,50.0
247,4.92,4.9,4.91,4.94,4.95,4.96,4.84,100.0,82.0
248,4.67,4.78,4.7,4.78,4.91,4.35,4.52,100.0,100.0
249,4.71,4.91,4.74,4.92,4.87,4.83,4.81,,100.0
250,4.39,4.38,4.32,4.65,4.57,4.86,4.24,100.0,33.0
251,4.6,4.86,3.62,4.57,4.86,4.62,4.48,,
252,4.88,4.92,4.56,4.96,4.88,4.68,4.68,100.0,91.0
253,4.53,4.63,4.03,4.84,4.94,4.88,4.5,,
254,4.71,4.75,4.88,5.0,5.0,5.0,4.75,,
255,4.88,4.87,4.75,4.94,4.88,4.88,4.81,,
256,4.88,4.91,4.84,4.93,4.9,4.95,4.81,70.0,20.0
257,4.73,4.78,4.48,4.93,4.91,4.8,4.7,100.0,80.0
258,5.0,5.0,3.0,5.0,5.0,5.0,5.0,,
259,,,,,,,,,
260,,,,,,,,0.0,
261,4.97,4.91,4.85,4.94,4.97,4.88,4.85,100.0,60.0
262,4.94,4.89,4.78,4.78,4.83,4.94,4.83,100.0,100.0
263,4.85,4.8,4.77,4.96,4.97,4.88,4.85,100.0,86.0
264,,,,,,,,,50.0
265,4.84,4.79,4.87,4.88,4.91,4.73,4.78,100.0,80.0
266,4.88,4.93,4.93,4.94,4.92,4.95,4.79,100.0,80.0
267,4.42,4.71,4.03,4.79,4.79,4.15,4.42,50.0,
268,4.44,4.5,4.34,4.74,4.77,3.68,4.25,100.0,100.0
269,4.54,4.75,4.79,4.92,4.84,3.84,4.5,,
270,4.74,4.66,4.42,4.88,4.96,4.99,4.6,100.0,100.0
271,4.76,4.79,4.45,4.95,4.95,4.61,4.75,100.0,93.0
272,4.88,4.9,4.71,5.0,4.98,4.9,4.88,100.0,93.0
273,4.92,4.88,4.81,4.88,4.85,4.96,4.81,,
274,4.98,5.0,4.98,5.0,5.0,4.93,4.95,100.0,43.0
275,4.21,4.36,4.43,4.79,4.61,4.14,4.21,83.0,44.0
276,4.09,4.11,4.36,4.62,4.46,4.77,4.14,100.0,99.0
277,4.65,4.66,4.56,4.75,4.82,4.52,4.62,44.0,75.0
278,4.54,4.3,4.47,4.78,4.78,4.52,4.52,,
279,4.83,4.67,4.83,5.0,5.0,4.67,4.33,,
280,4.58,4.61,4.4,4.87,4.89,4.69,4.51,75.0,86.0
281,4.46,4.57,4.32,4.75,4.6,4.16,4.62,63.0,93.0
282,4.64,4.63,4.22,4.97,4.87,4.59,4.64,100.0,20.0
283,,,,,,,,100.0,100.0
284,5.0,4.79,4.93,4.93,5.0,4.43,4.86,,
285,4.89,4.92,4.89,4.92,4.96,5.0,4.91,100.0,100.0
286,4.84,5.0,4.73,5.0,5.0,4.82,4.59,100.0,91.0
287,4.74,4.88,4.67,5.0,4.96,4.92,4.7,,
288,4.84,4.93,4.83,4.9,4.9,4.88,4.88,,
289,4.81,4.84,4.83,4.89,4.88,4.89,4.83,0.0,0.0
290,4.96,4.88,4.8,4.96,4.96,4.72,4.72,100.0,100.0
291,4.66,4.54,4.62,4.82,4.69,4.85,4.49,100.0,60.0
292,5.0,5.0,4.8,5.0,5.0,5.0,4.8,,
293,4.75,4.9,4.85,4.97,4.96,4.63,4.67,100.0,88.0
294,4.89,4.94,4.91,4.93,4.97,4.78,4.83,100.0,34.0
295,4.94,4.94,4.89,5.0,5.0,5.0,4.72,96.0,71.0
296,4.76,4.86,4.82,4.95,4.92,4.39,4.56,100.0,100.0
297,4.71,4.68,4.49,4.72,4.81,4.93,4.77,95.0,40.0
298,4.66,4.78,4.67,4.89,4.85,4.44,4.69,100.0,95.0
299,4.5,4.0,3.5,5.0,5.0,5.0,4.0,,
300,4.87,4.74,4.75,4.9,4.92,4.95,4.82,,
301,4.68,4.66,4.75,4.94,4.92,4.75,4.58,,0.0
302,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,
303,4.81,4.87,4.63,4.97,4.95,4.49,4.8,100.0,100.0
304,4.64,4.78,4.56,4.9,4.94,4.48,4.62,,
305,4.92,5.0,4.97,4.97,5.0,4.86,4.7,100.0,57.0
306,4.77,4.86,4.66,4.89,4.94,4.94,4.77,,
307,4.65,4.8,4.56,4.89,4.89,4.94,4.69,90.0,79.0
308,4.98,5.0,4.78,4.8,4.91,4.91,4.76,0.0,
309,4.55,4.39,3.84,4.73,4.69,4.92,4.51,100.0,96.0
310,4.6,4.65,4.14,4.89,4.87,4.46,4.61,100.0,
311,4.71,4.71,4.8,4.81,4.85,4.71,4.75,100.0,70.0
312,4.65,4.71,4.8,4.72,4.72,4.61,4.58,100.0,70.0
313,4.93,4.92,4.93,4.93,4.96,4.95,4.9,100.0,59.0
314,4.73,4.8,4.73,4.85,4.83,4.48,4.77,100.0,71.0
315,4.81,4.83,4.83,4.88,4.9,4.47,4.73,,100.0
316,4.87,4.47,4.87,4.93,4.87,4.8,4.93,,
317,,,,,,,,,
318,4.44,4.55,4.05,4.8,4.75,4.9,4.4,100.0,0.0
319,0.0,,,,,,,100.0,
320,4.84,4.89,4.96,4.94,4.91,4.97,4.74,,
321,4.41,4.37,4.47,4.62,4.83,4.04,4.45,,
322,5.0,5.0,5.0,5.0,4.88,4.75,4.88,,
323,4.54,4.59,4.41,4.81,4.87,4.83,4.44,100.0,98.0
324,4.88,4.86,4.95,4.98,4.96,4.49,4.78,100.0,100.0
325,4.71,4.79,4.73,4.9,4.88,4.49,4.67,80.0,60.0
326,4.75,4.75,5.0,4.75,4.75,5.0,5.0,,
327,4.86,4.95,4.86,4.95,4.93,4.71,4.79,60.0,31.0
328,4.61,4.51,4.51,4.86,4.87,4.26,4.69,100.0,0.0
329,4.69,4.91,4.24,4.79,4.74,4.73,4.58,0.0,50.0
330,4.82,4.58,4.83,5.0,5.0,5.0,4.83,,
331,4.57,4.79,4.11,4.82,4.86,4.55,4.55,100.0,100.0
332,4.89,4.89,4.91,4.93,4.94,4.82,4.85,100.0,100.0
333,4.83,4.9,4.82,4.93,4.84,4.73,4.77,80.0,82.0
334,4.67,4.44,4.67,5.0,5.0,4.22,4.44,,
335,4.98,4.95,4.93,4.95,4.98,4.88,4.85,100.0,96.0
336,5.0,5.0,5.0,4.0,4.0,5.0,5.0,,
337,4.73,4.88,4.74,4.85,4.87,4.39,4.69,100.0,95.0
338,4.89,4.91,4.9,4.92,4.87,4.91,4.77,100.0,99.0
339,4.86,4.85,4.62,4.88,4.96,4.73,4.73,100.0,50.0
340,4.75,4.89,4.69,4.83,4.83,4.33,4.64,100.0,0.0
341,4.72,4.58,4.42,4.59,4.83,4.19,4.51,,
342,4.56,4.67,4.64,4.59,4.75,4.43,4.41,100.0,67.0
343,4.79,4.94,4.74,4.89,4.97,5.0,4.71,,25.0
344,4.66,4.81,4.76,4.91,4.88,4.41,4.65,25.0,63.0
345,4.81,4.89,4.95,4.95,5.0,4.89,4.63,,0.0
346,4.61,4.6,4.35,4.88,4.93,4.54,4.53,,
347,4.83,4.9,4.81,4.84,4.91,4.54,4.75,100.0,95.0
348,4.8,4.91,4.27,5.0,4.55,4.91,4.64,20.0,13.0
349,4.54,4.72,4.62,4.94,4.94,4.46,4.59,100.0,86.0
350,4.92,4.94,4.95,4.96,4.98,4.92,4.85,100.0,79.0
351,4.57,4.76,4.13,4.51,4.75,4.91,4.62,60.0,33.0
352,4.59,4.6,4.75,4.76,4.69,4.34,4.55,100.0,86.0
353,4.9,4.94,4.98,4.99,4.99,4.26,4.79,100.0,100.0
354,4.63,4.88,4.63,5.0,5.0,4.75,5.0,0.0,100.0
355,4.67,4.59,3.9,4.69,4.9,4.64,4.44,0.0,0.0
356,4.9,4.96,4.99,4.96,4.95,4.65,4.81,100.0,96.0
357,4.18,3.89,4.25,4.11,4.0,3.64,3.93,90.0,79.0
358,4.82,4.93,4.9,4.87,4.91,4.48,4.8,100.0,98.0
359,4.74,4.44,3.78,4.83,5.0,4.39,4.56,,
360,4.13,3.89,3.6,4.64,4.78,4.59,4.18,90.0,100.0
361,4.73,4.69,4.64,4.82,4.94,4.9,4.74,80.0,36.0
362,4.88,4.72,4.67,4.83,5.0,4.83,4.61,0.0,0.0
363,4.92,4.84,4.95,4.97,4.95,4.97,4.81,,100.0
364,4.88,4.89,4.71,4.99,4.94,4.99,4.81,0.0,0.0
365,4.69,4.78,4.67,4.83,4.89,4.86,4.63,100.0,71.0
366,4.68,4.64,4.12,4.85,4.89,4.8,4.43,100.0,30.0
367,4.78,4.81,4.84,4.86,4.86,4.98,4.73,,33.0
368,4.86,4.89,4.89,4.91,4.94,4.71,4.79,100.0,100.0
369,,,,,,,,,
370,5.0,5.0,4.5,5.0,5.0,4.83,4.67,,100.0
371,4.68,4.62,4.31,4.79,4.95,4.67,4.4,,100.0
372,4.88,4.86,4.92,4.9,4.78,4.82,4.84,0.0,0.0
373,4.65,4.85,4.18,4.53,4.88,4.85,4.53,70.0,21.0
374,,,,,,,,,
375,4.68,4.81,4.62,4.8,4.86,4.52,4.76,100.0,92.0
376,4.62,4.69,4.52,4.81,4.76,4.47,4.6,90.0,73.0
377,4.25,4.2,3.0,4.6,5.0,5.0,4.2,,
378,4.74,4.74,4.85,4.68,4.71,4.35,4.44,100.0,97.0
379,4.83,5.0,5.0,5.0,5.0,4.83,4.67,,
380,3.75,4.0,3.0,5.0,4.5,3.5,4.5,,
381,4.76,4.88,4.82,4.76,4.82,4.71,4.71,100.0,80.0
382,4.71,4.57,4.71,5.0,4.86,4.14,4.29,,
383,4.38,4.49,4.32,4.5,4.73,4.45,4.43,,
384,5.0,4.91,5.0,5.0,5.0,4.73,5.0,,0.0
385,,,,,,,,,0.0
386,4.94,4.91,4.96,5.0,4.99,5.0,4.87,100.0,70.0
387,4.8,4.8,4.8,5.0,5.0,5.0,4.6,,
388,4.88,4.98,4.93,4.93,4.95,4.66,4.76,100.0,97.0
389,4.75,4.84,4.72,4.75,4.92,4.21,4.63,100.0,97.0
390,4.83,4.86,4.94,4.89,4.89,4.57,4.81,100.0,97.0
